country,ticker,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
USA,NVDA,23/11/20,131.5362793,133.6459561,129.9808679,131.2241974,36135600,0,0
USA,NVDA,24/11/20,131.2491763,131.4439075,128.6776243,129.4041443,34650000,0,0
USA,NVDA,25/11/20,130.1506248,132.5174641,130.025792,132.1704254,25991600,0,0
USA,NVDA,27/11/20,133.5710643,133.8956264,131.528802,132.4350891,16727600,0,0
USA,NVDA,30/11/20,132.4725142,133.9455468,129.5489408,133.8356934,28695200,0,0
USA,NVDA,1/12/20,134.7419791,135.1064962,132.1055119,133.7208405,29694800,0,0
USA,NVDA,2/12/20,133.3263871,136.5520613,132.1654363,135.2637939,28336000,0,0
USA,NVDA,3/12/20,135.7333088,136.4575589,133.1509978,133.8203125,19952000,0.04,0
USA,NVDA,4/12/20,134.344742,135.4585847,133.7478615,135.4411011,20224400,0,0
USA,NVDA,7/12/20,135.8706628,137.1693102,134.8592217,135.9256134,22324400,0,0
USA,NVDA,8/12/20,135.7083342,135.8456878,132.6764956,133.3607788,27192000,0,0
USA,NVDA,9/12/20,132.8663072,134.0001181,128.5483049,129.1726532,40130000,0,0
USA,NVDA,10/12/20,128.5558099,130.5512246,128.3610059,129.5872345,20776400,0,0
USA,NVDA,11/12/20,129.5372535,130.0641996,128.0962531,129.9967804,20926400,0,0
USA,NVDA,14/12/20,130.7435281,133.747884,130.6386266,132.9487152,27015600,0,0
USA,NVDA,15/12/20,134.2573369,134.4995767,131.7299615,133.4656525,19301600,0,0
USA,NVDA,16/12/20,134.0850525,134.2323902,131.987236,132.2869263,22311600,0,0
USA,NVDA,17/12/20,133.5281002,133.6554696,131.6475713,133.2733765,23138400,0,0
USA,NVDA,18/12/20,133.6504649,133.9102035,130.5686908,132.5815887,34206400,0,0
USA,NVDA,21/12/20,130.6111449,133.5605652,129.5397688,133.1834564,30233200,0,0
USA,NVDA,22/12/20,133.0536191,133.2334241,130.4038734,132.644043,18558000,0,0
USA,NVDA,23/12/20,132.421774,132.6115783,129.9143967,129.9568481,17914400,0,0
USA,NVDA,24/12/20,130.2365306,131.1880366,129.2525572,129.8019867,9788400,0,0
USA,NVDA,28/12/20,130.4887685,130.4887685,127.4993891,128.8654633,21256400,0,0
USA,NVDA,29/12/20,129.1152111,130.588679,128.2885746,129.2975159,17037200,0,0
USA,NVDA,30/12/20,129.7670179,131.9996875,128.8329954,131.3204041,22539600,0,0
